Column1,id_sampl,Survey,strata_id,psu,nr_hhs,locality_code,gov_code,gov_name,gov_area,enum_area,oslo_area,Oslo_Area2,Strata,locality.name,West.Bank.or.Gaza.Strip,psu_id,pop_numbers,SumDist,proba,survey_buffer,Column2
152,id_3804,8,Jerusalem(j2)_C,1.98663802136375e-313,66,402100,40,Jerusalem(j2),Jerusalem(j2)_C,12,3,_C,Jerusalem(j2)_C,??????????????,West Bank,1.98663802136375e-313,66,7583,0.008703679,8,12.12121212
154,id_3884,8,Jerusalem(j2)_C,1.9867614933093e-313,105,402125,40,Jerusalem(j2),Jerusalem(j2)_C,3,3,_C,Jerusalem(j2)_C,??? ?????????? (??????),West Bank,1.9867614933093e-313,105,7583,0.013846762,8,7.619047619
155,id_3902,8,Jerusalem(j2)_C,1.98686035090438e-313,61,402145,40,Jerusalem(j2),Jerusalem(j2)_C,12,3,_C,Jerusalem(j2)_C,??????????? ????????????,West Bank,1.98686035090438e-313,61,7583,0.00804431,8,13.1147541
13,id_1242,8,Nablus_C,7.44458144945749e-314,34,150680,15,Nablus,Nablus_C,6,3,_C,Nablus_C,???????,West Bank,7.44458144945749e-314,34,2403,0.01414898,8,23.52941176
14,id_1266,8,Nablus_C,7.44878100744714e-314,17,150765,15,Nablus,Nablus_C,6,3,_C,Nablus_C,??????????,West Bank,7.44878100744714e-314,17,2403,0.00707449,8,47.05882353
15,id_1298,16,Nablus_C,7.45100430285342e-314,49,150810,15,Nablus,Nablus_C,6,3,_C,Nablus_C,???? ??????,West Bank,7.45100430285342e-314,49,2403,0.020391178,16,32.65306122
18,id_1328,8,Nablus_C,7.4522393681549e-314,30,150835,15,Nablus,Nablus_C,4,3,_C,Nablus_C,???????,West Bank,7.4522393681549e-314,30,2403,0.012484395,8,26.66666667
22,id_1446,8,Nablus_C,7.45644263163689e-314,97,150920,15,Nablus,Nablus_C,79,3,_C,Nablus_C,???????,West Bank,7.45644263163689e-314,97,2403,0.040366209,8,8.24742268
23,id_1448,16,Nablus_C,7.45644268104346e-314,40,150920,15,Nablus,Nablus_C,80,3,_C,Nablus_C,???????,West Bank,7.45644268104346e-314,40,2403,0.016645859,16,40
24,id_1452,24,Nablus_C,7.45644282926315e-314,45,150920,15,Nablus,Nablus_C,83,3,_C,Nablus_C,???????,West Bank,7.45644282926315e-314,45,2403,0.018726592,24,53.33333333
25,id_1454,16,Nablus_C,7.45644287866971e-314,153,150920,15,Nablus,Nablus_C,84,3,_C,Nablus_C,???????,West Bank,7.45644287866971e-314,153,2403,0.063670412,16,10.45751634
32,id_1651,32,Nablus_C,7.4564518212579e-314,96,150920,15,Nablus,Nablus_C,265,3,_C,Nablus_C,???????,West Bank,7.4564518212579e-314,96,2403,0.039950062,32,33.33333333
33,id_1655,8,Nablus_C,7.45645192007103e-314,72,150920,15,Nablus,Nablus_C,267,3,_C,Nablus_C,???????,West Bank,7.45645192007103e-314,72,2403,0.029962547,8,11.11111111
34,id_1657,8,Nablus_C,7.4564519694776e-314,127,150920,15,Nablus,Nablus_C,268,3,_C,Nablus_C,???????,West Bank,7.4564519694776e-314,127,2403,0.052850603,8,6.299212598
35,id_1702,8,Nablus_C,7.45816835353125e-314,58,150955,15,Nablus,Nablus_C,8,3,_C,Nablus_C,?????,West Bank,7.45816835353125e-314,58,2403,0.024136496,8,13.79310345
37,id_1764,8,Nablus_C,7.46088561577025e-314,20,151010,15,Nablus,Nablus_C,6,3,_C,Nablus_C,???????,West Bank,7.46088561577025e-314,20,2403,0.00832293,8,40
38,id_1774,8,Nablus_C,7.46162656601932e-314,30,151025,15,Nablus,Nablus_C,3,3,_C,Nablus_C,????? ???????,West Bank,7.46162656601932e-314,30,2403,0.012484395,8,26.66666667
39,id_1776,8,Nablus_C,7.46187350002911e-314,138,151030,15,Nablus,Nablus_C,1,3,_C,Nablus_C,?????? ???? ?????,West Bank,7.46187350002911e-314,138,2403,0.057428215,8,5.797101449
40,id_1840,8,Nablus_C,7.46953161635278e-314,42,151185,15,Nablus,Nablus_C,3,3,_C,Nablus_C,?????????,West Bank,7.46953161635278e-314,42,2403,0.017478152,8,19.04761905
41,id_1850,8,Nablus_C,7.46953196219873e-314,45,151185,15,Nablus,Nablus_C,10,3,_C,Nablus_C,?????????,West Bank,7.46953196219873e-314,45,2403,0.018726592,8,17.77777778
44,id_1954,8,Nablus_C,7.47842494619761e-314,75,151365,15,Nablus,Nablus_C,6,3,_C,Nablus_C,??????,West Bank,7.47842494619761e-314,75,2403,0.031210986,8,10.66666667
45,id_1956,8,Nablus_C,7.47842499560418e-314,38,151365,15,Nablus,Nablus_C,7,3,_C,Nablus_C,??????,West Bank,7.47842499560418e-314,38,2403,0.015813566,8,21.05263158
48,id_2030,8,Qalqilya_C,9.92923738476686e-314,21,200970,20,Qalqilya,Qalqilya_C,2,3,_C,Qalqilya_C,??????,West Bank,9.92923738476686e-314,21,2593,0.008098727,8,38.0952381
49,id_2036,8,Qalqilya_C,9.92923753298655e-314,67,200970,20,Qalqilya,Qalqilya_C,5,3,_C,Qalqilya_C,??????,West Bank,9.92923753298655e-314,67,2593,0.025838797,8,11.94029851
50,id_2055,8,Qalqilya_C,9.93244876205826e-314,106,201035,20,Qalqilya,Qalqilya_C,1,3,_C,Qalqilya_C,?????????,West Bank,9.93244876205826e-314,106,2593,0.04087929,8,7.547169811
51,id_2056,8,Qalqilya_C,9.93244881146483e-314,99,201035,20,Qalqilya,Qalqilya_C,2,3,_C,Qalqilya_C,?????????,West Bank,9.93244881146483e-314,99,2593,0.038179715,8,8.080808081
53,id_2095,16,Qalqilya_C,9.93269762292407e-314,60,201040,20,Qalqilya,Qalqilya_C,38,3,_C,Qalqilya_C,????????????,West Bank,9.93269762292407e-314,60,2593,0.023139221,16,26.66666667
54,id_2103,8,Qalqilya_C,9.93269791936346e-314,52,201040,20,Qalqilya,Qalqilya_C,44,3,_C,Qalqilya_C,????????????,West Bank,9.93269791936346e-314,52,2593,0.020053992,8,15.38461538
55,id_2111,8,Qalqilya_C,9.93269821580285e-314,21,201040,20,Qalqilya,Qalqilya_C,50,3,_C,Qalqilya_C,????????????,West Bank,9.93269821580285e-314,21,2593,0.008098727,8,38.0952381
